URL,Người bán,Loại người bán,Số phòng ngủ,Hướng,Kiểu nhà,Giá,Giá mỗi m2,Diện tích,Giấy tờ pháp lý,Số phòng vệ sinh,Tình trạng nội thất,Số tầng,Đường/Phố,Phường/Xã/Thị trấn,Quận/Huyện,Thành phố
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125435131.htm,Ngọc Trâm,Môi Giới,4,Không rõ,"Nhà ngõ, hẻm",8750,190.22,46,Đã có sổ,Không rõ,Không rõ,5,Ngõ Thịnh Quang,Phường Thịnh Quang,Quận Đống Đa,Hà Nội
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/125334573.htm,CƯỜNG LAND,Môi Giới,1,Hướng Tây Nam,Chung cư,2980,69.3,43,Sổ hồng riêng,1,Nội thất cao cấp,0,Đại Mỗ,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/125780453.htm,Nguyễn Mạnh Huân,Môi Giới,3,Không rõ,"Tập thể, cư xá",2790,46.5,60,Sổ hồng riêng,Không rõ,Nội thất đầy đủ,0,Đường Nguyễn Trãi,Phường Khương Đình,Quận Thanh Xuân,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125417096.htm,Ngọc Trâm,Môi Giới,5,Không rõ,"Nhà ngõ, hẻm",8700,217.5,40,Đã có sổ,4,Nội thất đầy đủ,5,Ngõ Thịnh Quang,Phường Thịnh Quang,Quận Đống Đa,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125416661.htm,Ngọc Trâm,Môi Giới,3,Không rõ,"Nhà ngõ, hẻm",7390,184.75,40,Đã có sổ,Không rõ,Nội thất đầy đủ,5,Ngõ Thịnh Quang,Phường Thịnh Quang,Quận Đống Đa,Hà Nội
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-thanh-tri-ha-noi/125780351.htm,Bảo Ngọc,Môi Giới,1,Hướng Tây Bắc,Chung cư,1850,39.36,47,Hợp đồng mua bán,1,Nội thất đầy đủ,0,Phan Trọng Tuệ,Xã Tả Thanh Oai,Huyện Thanh Trì,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125404989.htm,Ngọc Trâm,Môi Giới,4,Không rõ,"Nhà ngõ, hẻm",7900,207.89,38,Đã có sổ,Không rõ,Nội thất đầy đủ,6,Ngõ Thịnh Quang,Phường Thịnh Quang,Quận Đống Đa,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/125780296.htm,Thanh Lam,Môi Giới,4,Không rõ,"Nhà ngõ, hẻm",9100,239.47,38,Đã có sổ,Không rõ,Không rõ,0,Ngõ Quỳnh,Phường Quỳnh Lôi,Quận Hai Bà Trưng,Hà Nội
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/125780109.htm,Bảo Ngọc,Môi Giới,2,Không rõ,Chung cư,2750,50.93,54,Sổ hồng riêng,1,Nội thất cao cấp,0,Phùng Hưng,Phường Phúc La,Quận Hà Đông,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/125780278.htm,Tuấn Anh Land,Môi Giới,5,Không rõ,"Nhà mặt phố, mặt tiền",17200,286.67,60,Đã có sổ,Không rõ,Nội thất cao cấp,6,bồ đề,Phường Bồ Đề,Quận Long Biên,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/125239808.htm,Mai Gia vinh,Cá nhân,2,Không rõ,"Nhà ngõ, hẻm",11800,161.64,73,Đã có sổ,Không rõ,Không rõ,0,Đường Giải Phóng,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/125779913.htm,Bảo Ngọc,Môi Giới,2,Không rõ,Chung cư,3580,43.66,82,Sổ hồng riêng,Không rõ,Không rõ,0,Phùng Hưng,Phường Phúc La,Quận Hà Đông,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-huyen-chuong-my-ha-noi/125780074.htm,Quang Thành,Cá nhân,3,Không rõ,"Nhà ngõ, hẻm",2850,95,30,Đã có sổ,2,Nội thất đầy đủ,3,Phượng Đồng,Xã Phụng Châu,Huyện Chương Mỹ,Hà Nội
https://www.nhatot.com/mua-ban-dat-huyen-ba-vi-ha-noi/125779852.htm,Nguyễn Mạnh Huân,Môi Giới,Không rõ,Không rõ,Đất thổ cư,3250,4.86,669,Đã có sổ,Không rõ,Không rõ,0,Đường Ao Vua,Xã Tản Lĩnh,Huyện Ba Vì,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/124887032.htm,Xuân,Môi Giới,2,Không rõ,"Nhà ngõ, hẻm",1700,42.5,40,Giấy tờ viết tay,Không rõ,Không rõ,0,Phố Đại Từ,Phường Thịnh Liệt,Quận Hoàng Mai,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125779839.htm,a huy,Môi Giới,5,Hướng Đông Nam,"Nhà ngõ, hẻm",4950,143.9,34.4,Đã có sổ,4,Nội thất đầy đủ,4,Kiến Hưng,Phường Phú Lương,Quận Hà Đông,Hà Nội
https://www.nhatot.com/mua-ban-dat-quan-nam-tu-liem-ha-noi/116884010.htm,Xuân,Môi Giới,Không rõ,Không rõ,Đất nông nghiệp,4000,43.96,91,Không có sổ,Không rõ,Không rõ,0,Kẻ Vẽ,Phường Xuân Phương,Quận Nam Từ Liêm,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/125282481.htm,Xuân,Môi Giới,3,Không rõ,"Nhà ngõ, hẻm",2350,55.95,42,Không có sổ,Không rõ,Không rõ,0,Phố Định Công Hạ,Phường Định Công,Quận Hoàng Mai,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/122675301.htm,Xuân,Môi Giới,2,Không rõ,"Nhà ngõ, hẻm",2880,80,36,Không có sổ,Không rõ,Không rõ,0,Phố Vĩnh Hưng,Phường Vĩnh Hưng,Quận Hoàng Mai,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/125779705.htm#px=SR-special_display_ad-[PO-1][PL-default],Dương Nhật Phương,Môi Giới,4,Không rõ,"Nhà ngõ, hẻm",7310,228.44,32,Đã có sổ,4,Nội thất đầy đủ,2,Ngõ Quỳnh,Phường Thanh Nhàn,Quận Hai Bà Trưng,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/124407449.htm,Xuân,Môi Giới,2,Không rõ,"Nhà ngõ, hẻm",2950,77.63,38,Không có sổ,Không rõ,Không rõ,0,Phố Vĩnh Hưng,Phường Vĩnh Hưng,Quận Hoàng Mai,Hà Nội
https://www.nhatot.com/sang-nhuong-van-phong-mat-bang-kinh-doanh-quan-thanh-xuan-ha-noi/122260119.htm,Xuân,Môi Giới,Không rõ,Không rõ,Không rõ,56800,502.65,113,Đã có sổ,Không rõ,Không rõ,0,Phố Hà Kế Tấn,Phường Phương Liệt,Quận Thanh Xuân,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/125779646.htm,Nguyễn Thế Anh,Môi Giới,7,Không rõ,"Nhà ngõ, hẻm",6980,225.16,31,Đã có sổ,6+,Nội thất đầy đủ,5,Phố Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/125171029.htm,Xuân,Môi Giới,3,Không rõ,"Nhà ngõ, hẻm",2600,57.78,45,Không có sổ,Không rõ,Không rõ,0,Phố Định Công Thượng,Phường Định Công,Quận Hoàng Mai,Hà Nội
https://www.nhatot.com/sang-nhuong-van-phong-mat-bang-kinh-doanh-quan-thanh-xuan-ha-noi/120298602.htm,Xuân,Môi Giới,Không rõ,Không rõ,Không rõ,42000,362.07,116,Đã có sổ,Không rõ,Không rõ,0,Phố Nguyễn Lân,Phường Phương Liệt,Quận Thanh Xuân,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/124840410.htm,Xuân,Môi Giới,3,Không rõ,"Nhà ngõ, hẻm",1800,26.47,68,Giấy tờ viết tay,Không rõ,Không rõ,0,Đường Lĩnh Nam,Phường Vĩnh Hưng,Quận Hoàng Mai,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/125163771.htm#px=SR-special_display_ad-[PO-1][PL-default],Nguyễn Văn Thụ,Môi Giới,3,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",7200,240,30,Đã có sổ,Không rõ,Không rõ,0,Phố Xuân Đỗ,Phường Cự Khối,Quận Long Biên,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/123825335.htm,Xuân,Môi Giới,5,Không rõ,"Nhà ngõ, hẻm",3100,86.11,36,Không có sổ,Không rõ,Không rõ,0,Phố Định Công Hạ,Phường Định Công,Quận Hoàng Mai,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/125779410.htm,Nguyễn Văn Thản,Môi Giới,4,Không rõ,"Nhà ngõ, hẻm",10500,300,35,Đã có sổ,Không rõ,Không rõ,7,Đường Lạc Long Quân,Phường Bưởi,Quận Tây Hồ,Hà Nội
